metric_name,labels,metric1,metric2,abs(diff),percent_diff,diff
mysql_info_schema_innodb_metrics_buffer_buffer_data_reads_total,{},17910784.0,18009088.0,98304.0,0.5488536961866103,98304.0
mysql_info_schema_innodb_metrics_buffer_buffer_data_written_total,{},64311296.0,66127872.0,1816576.0,2.824660849627412,1816576.0
mysql_info_schema_innodb_metrics_buffer_buffer_pages_read_total,{},1088.0,1094.0,6.0,0.5514705882352942,6.0
mysql_info_schema_innodb_metrics_buffer_buffer_pages_written_total,{},2070.0,2181.0,111.0,5.36231884057971,111.0
mysql_info_schema_innodb_metrics_buffer_buffer_pool_bytes_data,{},25493504.0,25624576.0,131072.0,0.5141388174807198,131072.0
mysql_info_schema_innodb_metrics_buffer_buffer_pool_bytes_dirty,{},9732096.0,9551872.0,180224.0,-1.8518518518518516,-180224.0
mysql_info_schema_innodb_metrics_buffer_buffer_pool_read_requests_total,{},246894.0,235529.0,11365.0,-4.603190032969614,-11365.0
mysql_info_schema_innodb_metrics_buffer_buffer_pool_reads_total,{},1089.0,1095.0,6.0,0.5509641873278237,6.0
mysql_info_schema_innodb_metrics_buffer_buffer_pool_write_requests_total,{},118336.0,118198.0,138.0,-0.1166170903190914,-138.0
mysql_info_schema_innodb_metrics_buffer_pool_dirty_pages,{},594.0,583.0,11.0,-1.8518518518518516,-11.0
mysql_info_schema_innodb_metrics_buffer_pool_pages,{'state': 'data'},1556.0,1564.0,8.0,0.5141388174807198,8.0
mysql_info_schema_innodb_metrics_buffer_pool_pages,{'state': 'free'},6622.0,6615.0,7.0,-0.10570824524312897,-7.0
mysql_info_schema_innodb_metrics_buffer_pool_pages,{'state': 'misc'},14.0,13.0,1.0,-7.142857142857142,-1.0
mysql_info_schema_innodb_metrics_dml_dml_inserts_total,{},10039.0,10026.0,13.0,-0.1294949696184879,-13.0
mysql_info_schema_innodb_metrics_dml_dml_system_deletes_total,{},1167.0,1165.0,2.0,-0.17137960582690662,-2.0
mysql_info_schema_innodb_metrics_dml_dml_system_inserts_total,{},1538.0,1535.0,3.0,-0.1950585175552666,-3.0
mysql_info_schema_innodb_metrics_dml_dml_system_reads_total,{},38474.0,33666.0,4808.0,-12.496751052658938,-4808.0
mysql_info_schema_innodb_metrics_lock_lock_deadlock_rounds_total,{},136.0,137.0,1.0,0.7352941176470588,1.0
mysql_info_schema_innodb_metrics_lock_lock_rec_release_attempts_total,{},223.0,220.0,3.0,-1.345291479820628,-3.0
mysql_info_schema_innodb_metrics_lock_lock_schedule_refreshes_total,{},136.0,137.0,1.0,0.7352941176470588,1.0
mysql_info_schema_innodb_metrics_log_log_write_requests_total,{},83906.0,83857.0,49.0,-0.05839868424188973,-49.0
